,Total_years,censored,Baseline,Predicted_income,Married,Male,ACGC,Celebrity breakfast,Golf,Personal_connection,Mean_Pred_Total_years,Med_Pred_Total_years
1217,6.01505817933,1,1,-0.845768128275,0.0,0.0,False,False,False,True,17.7298060163,17.6638399685
1219,6.64750171116,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
1220,5.98767967146,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
1233,5.43463381246,1,1,-0.153950801874,0.0,0.0,False,False,False,True,18.1750387031,17.8642745264
1234,6.60643394935,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
1242,6.52703627652,1,1,-0.329028076475,1.0,0.0,False,True,False,False,5.3917487928,5.27122325758
1247,5.99041752225,1,1,0.530402152101,0.0,0.0,False,True,False,False,5.71066474223,5.46691064373
1262,5.99041752225,1,1,1.98482253892,0.0,0.0,False,False,False,True,20.6283850311,20.1685456445
1268,6.56262833676,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
1270,6.0205338809,1,1,-0.153950801874,1.0,0.0,False,True,False,False,5.41927151631,5.29665875485
1271,6.62012320329,1,1,-0.760368159479,1.0,1.0,False,False,False,True,22.8032259094,22.8709495539
1278,6.56262833676,1,1,-0.458103010899,1.0,1.0,False,False,False,True,23.0603721678,23.0810838064
1288,5.98767967146,1,1,-1.10676955513,1.0,1.0,False,False,False,True,22.550476398,22.6002651194
1303,7.12936344969,1,1,-1.52869530325,0.0,0.0,False,False,False,False,16.2110114208,16.214564202
1313,4.72553045859,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
1317,7.01163586585,1,1,0.530402152101,1.0,1.0,False,False,False,True,24.1381421821,24.1546897183
1322,2.06707734428,1,1,-0.329028076475,1.0,0.0,False,False,False,False,14.1730301075,14.1325198789
1344,6.75154004107,1,1,-2.06625592196,0.0,1.0,False,False,False,False,26.9985411009,26.8212504611
1348,6.77891854894,1,1,-0.153950801874,1.0,0.0,False,False,False,False,14.3186223007,14.3034503729
1354,8.0219028063,1,1,-1.570084829,1.0,1.0,False,False,False,False,21.7043161189,21.7543052522
1367,4.94729637235,1,1,0.530402152101,0.0,1.0,False,False,False,False,30.318947597,30.2770041387
1375,5.02943189596,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
1378,7.46611909651,1,1,-0.485486354687,1.0,1.0,False,False,False,True,23.0356946589,23.0533011151
1392,5.90828199863,1,1,0.795177699844,1.0,0.0,False,False,False,False,15.2215973832,15.1596386344
1407,4.96098562628,1,1,-0.485486354687,0.0,0.0,False,False,False,False,16.9751140598,16.9539199455
1410,4.08761122519,1,1,1.98482253892,1.0,0.0,False,False,False,False,16.7953068716,16.6638701473
1412,4.99110198494,1,1,-0.485486354687,0.0,0.0,False,False,False,True,17.9484759205,17.799955447
1414,5.39082819986,1,1,-0.485486354687,0.0,0.0,False,False,False,True,17.9484759205,17.799955447
1428,8.50924024641,1,1,1.98482253892,1.0,1.0,False,False,False,False,26.5765808783,26.4940223095
1430,8.24640657084,1,1,-1.26521973048,1.0,1.0,False,False,False,True,22.4497660527,22.5500879706
1437,8.87885010267,1,1,-0.711933608062,1.0,1.0,False,False,False,False,22.6404390031,22.7133261652
1445,9.01574264203,1,1,-1.21110303039,1.0,0.0,False,False,False,False,13.516696724,13.4799271635
1448,9.10335386721,1,1,0.527047377977,1.0,1.0,False,False,False,True,24.1338415623,24.1495646733
1452,7.97262149213,1,1,0.849189563242,0.0,0.0,False,False,False,True,19.0955862511,18.7422389205
1458,8.98288843258,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
1471,7.49075975359,1,1,-0.642594620385,1.0,1.0,False,False,False,True,22.8994209975,22.9824719177
1474,4.58316221766,1,1,-0.642594620385,0.0,0.0,False,False,False,True,17.8472161551,17.7246952881
1487,9.31143052704,1,1,0.849189563242,1.0,0.0,False,False,False,True,14.893786794,14.9058859677
1488,3.98357289528,1,1,-0.485486354687,0.0,0.0,False,True,False,True,5.36028730473,5.12533884492
1489,3.84941820671,1,1,-0.153950801874,0.0,0.0,False,False,False,False,17.3153581985,17.3162140071
1490,3.91238877481,1,1,-0.153950801874,0.0,0.0,False,True,False,True,5.41111955931,5.17659885155
1498,9.1909650924,1,1,-0.236687918709,0.0,0.0,False,False,False,False,17.2252766037,17.2432034217
1510,6.46132785763,1,1,-0.236687918709,1.0,1.0,False,False,False,False,23.2471585302,23.263898695
1511,5.98767967146,1,1,-0.236687918709,1.0,1.0,False,False,False,True,23.2699831038,23.2271742183
1520,2.00136892539,1,1,-0.153950801874,1.0,1.0,False,False,False,True,23.3529213102,23.3112616096
1521,9.29500342231,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
1522,9.36618754278,1,1,1.98482253892,1.0,1.0,False,False,False,True,26.5000401825,26.4805961207
1530,5.54962354552,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
1533,9.93018480493,1,1,1.98482253892,0.0,0.0,False,False,False,False,20.8023426818,20.6579875017
1539,2.51882272416,1,1,-0.417153799247,0.0,1.0,False,False,False,False,28.8258121319,28.6038607281
1541,10.8774811773,1,1,-0.236687918709,1.0,1.0,False,False,False,False,23.2471585302,23.263898695
1555,3.48254620123,1,1,0.849189563242,0.0,0.0,False,False,False,True,19.0955862511,18.7422389205
1556,9.0431211499,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
1558,7.93155373032,1,1,0.849189563242,0.0,0.0,False,False,False,False,18.7515944282,18.5611658954
1563,8.43258042437,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
1564,8.96098562628,1,1,0.530402152101,1.0,1.0,False,False,False,True,24.1381421821,24.1546897183
1573,8.29568788501,1,1,1.98482253892,1.0,1.0,False,False,False,True,26.5000401825,26.4805961207
