,Total_years,censored,Baseline,Predicted_income,Married,Male,ACGC,Celebrity breakfast,Golf,Personal_connection,Mean_Pred_Total_years,Med_Pred_Total_years
268,1.64544832307,1,1,-0.453720837199,0.0,1.0,False,False,False,True,30.2710075497,30.2153168178
269,0.985626283368,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
272,0.985626283368,1,1,0.849189563242,0.0,0.0,False,False,False,True,19.0955862511,18.7422389205
273,1.04585900068,1,1,0.530402152101,0.0,0.0,False,False,False,True,18.7518202779,18.3676343198
274,0.985626283368,1,1,-0.845768128275,1.0,0.0,False,False,False,True,13.7697615622,13.5890195139
276,0.490075290897,1,1,-0.417153799247,1.0,0.0,False,False,False,True,13.9929738446,13.7762256801
280,1.56331279945,1,1,0.530402152101,1.0,1.0,False,False,False,False,24.3655535223,24.31930911
287,0.988364134155,1,1,-1.52869530325,0.0,0.0,False,False,False,False,16.2110114208,16.214564202
288,0.988364134155,1,1,0.530402152101,0.0,0.0,False,False,False,True,18.7518202779,18.3676343198
296,0.761122518823,1,1,-0.84534878151,0.0,1.0,False,False,False,False,28.2514801339,27.99606612
297,0.758384668036,1,1,-1.51286496285,0.0,0.0,False,False,False,False,16.2199025415,16.2238154732
299,1.74127310062,1,1,-0.153950801874,0.0,1.0,False,False,False,False,29.2093921413,29.0871737088
303,1.65639972621,1,1,0.849189563242,0.0,1.0,False,False,False,True,32.4554680083,32.3388787619
307,1.01300479124,1,1,-0.858767878006,0.0,1.0,False,False,False,False,28.2347199096,27.9773378858
314,1.01300479124,1,1,-1.45455479511,0.0,0.0,False,False,False,False,16.2534508499,16.2512922676
315,1.01300479124,1,1,-0.858767878006,0.0,1.0,False,False,False,False,28.2347199096,27.9773378858
316,2.03696098563,1,1,-0.858767878006,0.0,1.0,False,False,False,False,28.2347199096,27.9773378858
319,1.32785763176,1,1,0.595610574138,0.0,1.0,False,False,False,False,30.4330556631,30.3797829856
320,1.43737166324,1,1,0.795177699844,1.0,0.0,False,False,False,True,14.84654095,14.8396642919
322,1.97672826831,1,1,-0.927247204814,0.0,0.0,False,False,False,False,16.599633068,16.6243287319
327,1.67556468172,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
328,0.966461327858,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
333,1.11978097194,1,1,-1.98846709695,1.0,1.0,False,False,False,True,22.0637200556,22.1020203797
339,1.11978097194,1,1,-0.106588149414,0.0,0.0,False,False,False,True,18.2090968229,17.8836198611
342,1.79603011636,1,1,0.849189563242,1.0,0.0,False,False,True,True,4.15039869637,3.83254026997
343,2.23682409309,1,1,0.849189563242,1.0,1.0,False,False,True,True,5.7772481961,5.00575095113
344,1.67556468172,1,1,-0.453720837199,0.0,1.0,False,False,False,True,30.2710075497,30.2153168178
347,1.0212183436,1,1,0.530402152101,0.0,1.0,False,False,True,True,7.00226381342,5.61614966354
353,1.13894592745,1,1,-0.153950801874,0.0,0.0,False,False,False,True,18.1750387031,17.8642745264
354,1.16632443532,1,1,-0.823962096469,0.0,1.0,False,False,False,True,29.7006803194,29.512249538
357,1.18822724162,1,1,0.849189563242,1.0,1.0,False,False,True,True,5.7772481961,5.00575095113
358,2.26967830253,1,1,-1.5102650129,0.0,1.0,False,False,False,True,28.7128824034,28.7676475628
360,0.755646817248,1,1,-1.69310020267,0.0,1.0,False,False,False,False,27.3398582093,26.8933986893
363,0.752908966461,1,1,-0.576442668126,0.0,0.0,False,False,False,False,16.8909227668,16.8492625368
368,0.755646817248,1,1,-1.41505592261,0.0,0.0,False,False,False,False,16.2767060646,16.2697666055
369,0.755646817248,1,1,-1.54228213845,0.0,0.0,False,False,False,False,16.2034543428,16.2061308853
370,0.755646817248,1,1,-1.51286496285,0.0,1.0,False,False,False,False,27.5156031069,27.0613444468
377,2.39288158795,1,1,0.849189563242,1.0,1.0,False,False,False,False,24.8649619841,24.8633876654
378,2.46680355921,1,1,-0.28876494863,0.0,0.0,False,False,False,False,17.1703992738,17.195159697
395,2.01779603012,1,1,-0.505824672814,1.0,1.0,False,False,False,True,23.0175436065,23.0393454546
398,1.99041752225,1,1,0.530402152101,0.0,0.0,False,False,False,True,18.7518202779,18.3676343198
399,0.906228610541,1,1,-0.153950801874,0.0,0.0,False,False,False,True,18.1750387031,17.8642745264
402,2.81998631075,1,1,0.849189563242,0.0,0.0,False,False,False,False,18.7515944282,18.5611658954
404,1.01574264203,1,1,-1.1372141303,1.0,0.0,False,False,False,True,13.6407073591,13.4813415775
414,2.66392881588,1,1,-0.833879647473,0.0,1.0,False,False,False,False,28.2658775183,28.0071979055
416,1.01574264203,1,1,-1.54228213845,0.0,0.0,False,False,False,True,17.3868453403,17.1308229557
417,2.00410677618,1,1,-1.26521973048,1.0,0.0,False,False,False,True,13.5901736716,13.4282094373
424,1.01300479124,1,1,0.795177699844,0.0,0.0,False,False,False,True,19.0349257674,18.7508931058
428,0.919917864476,1,1,-0.153950801874,0.0,0.0,False,False,False,False,17.3153581985,17.3162140071
430,2.72963723477,1,1,1.98482253892,1.0,1.0,False,False,False,True,26.5000401825,26.4805961207
432,2.03148528405,1,1,-0.236687918709,1.0,0.0,False,False,False,True,14.0977532813,13.9344575273
436,2.69404517454,1,1,-0.845768128275,0.0,0.0,False,False,False,True,17.7298060163,17.6638399685
437,2.00136892539,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
438,1.01300479124,1,1,-1.26521973048,0.0,0.0,False,False,False,True,17.5204964871,17.1364669777
440,2.0205338809,1,1,-0.417153799247,1.0,0.0,False,False,False,True,13.9929738446,13.7762256801
442,0.993839835729,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
443,1.00205338809,1,1,0.849189563242,0.0,0.0,False,False,False,True,19.0955862511,18.7422389205
446,2.09719370294,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
448,0.624229979466,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
456,1.18548939083,1,1,-0.236687918709,1.0,0.0,False,False,False,True,14.0977532813,13.9344575273
457,1.99589322382,1,1,-0.236687918709,1.0,0.0,False,False,False,True,14.0977532813,13.9344575273
464,2.87474332649,1,1,-0.153950801874,1.0,0.0,False,False,False,False,14.3186223007,14.3034503729
470,1.08692676249,1,1,-0.84534878151,0.0,0.0,False,False,False,False,16.6630526602,16.6745393259
471,1.08692676249,1,1,-0.84534878151,0.0,0.0,False,False,False,False,16.6630526602,16.6745393259
472,1.08692676249,1,1,-0.858767878006,0.0,0.0,False,False,False,False,16.6524743914,16.6693305672
478,1.05681040383,1,1,-1.69310020267,0.0,1.0,False,False,False,True,28.4576885041,28.4100260987
486,2.23134839151,1,1,0.849189563242,0.0,0.0,False,False,True,True,4.79153221764,4.21982276235
504,1.63449691992,1,1,-0.447787080467,1.0,0.0,False,False,False,True,13.9758686305,13.7516450521
509,2.18754277892,1,1,-1.26291332327,1.0,1.0,False,False,True,True,5.38365556479,4.67056333386
511,2.18480492813,1,1,0.849189563242,1.0,0.0,False,False,False,True,14.893786794,14.9058859677
517,0.145106091718,1,1,0.530402152101,1.0,1.0,False,False,True,True,5.7008289671,4.95170485875
520,2.02327173169,1,1,-1.86121632096,1.0,0.0,False,False,True,True,3.84801487973,3.49924655811
521,2.05886379192,1,1,0.849189563242,0.0,1.0,False,False,True,True,7.0935074774,5.67961435573
529,2.06981519507,1,1,-1.17529081661,0.0,1.0,False,False,False,True,29.1860463196,29.1743977815
532,2.13552361396,1,1,0.530402152101,0.0,1.0,False,False,True,False,6.75542190857,5.49245784206
534,2.16016427105,1,1,-0.505824672814,0.0,1.0,False,False,True,False,6.42009371294,5.20882713676
537,3.38945927447,1,1,-0.485486354687,1.0,0.0,False,False,False,False,14.0474896431,13.999804315
545,2.25051334702,1,1,-1.10676955513,1.0,1.0,False,False,False,True,22.550476398,22.6002651194
546,2.37645448323,1,1,-0.642594620385,1.0,1.0,False,False,False,True,22.8994209975,22.9824719177
550,3.04449007529,1,1,-0.642594620385,1.0,0.0,False,False,False,True,13.870944335,13.6426954104
553,2.03148528405,1,1,-0.833879647473,1.0,0.0,False,False,False,True,13.7754310532,13.5906237645
554,2.03148528405,1,1,-0.981573578286,1.0,1.0,False,False,False,True,22.636549609,22.6870696463
557,3.01984941821,1,1,-1.17793270124,0.0,1.0,False,False,False,True,29.1822945375,29.1708454432
559,1.77138945927,1,1,-1.69310020267,0.0,0.0,False,False,False,False,16.1241877789,16.0618646369
566,2.45037645448,1,1,-0.236687918709,1.0,0.0,False,False,False,True,14.0977532813,13.9344575273
567,2.03148528405,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
570,2.16290212183,1,1,0.530402152101,0.0,0.0,False,True,False,True,5.53578671328,5.29647482259
579,3.02258726899,1,1,0.530402152101,0.0,0.0,False,False,False,True,18.7518202779,18.3676343198
593,1.11430527036,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
603,3.04722792608,1,1,0.849189563242,0.0,0.0,False,True,False,False,5.79488473048,5.53874359286
609,2.87748117728,1,1,-0.153950801874,0.0,0.0,False,False,False,True,18.1750387031,17.8642745264
611,1.99041752225,1,1,-0.153950801874,0.0,0.0,False,False,False,False,17.3153581985,17.3162140071
615,2.05065023956,1,1,-1.39934779343,0.0,0.0,False,False,False,False,16.2858693572,16.2816362903
621,2.86652977413,1,1,-1.78181301091,0.0,0.0,False,False,False,False,16.0779835801,16.0005306322
623,0.528405201916,1,1,-1.45455479511,0.0,0.0,False,False,False,False,16.2534508499,16.2512922676
626,2.49965776865,1,1,0.849189563242,0.0,0.0,False,False,False,True,19.0955862511,18.7422389205
634,1.01574264203,1,1,0.849189563242,0.0,1.0,False,False,False,True,32.4554680083,32.3388787619
639,2.52429842574,1,1,-2.06625592196,0.0,1.0,False,False,False,True,27.9496171282,28.0191789642
646,2.49418206708,1,1,0.849189563242,1.0,0.0,False,False,False,True,14.893786794,14.9058859677
652,2.00410677618,1,1,0.530402152101,0.0,0.0,False,False,False,True,18.7518202779,18.3676343198
654,3.49349760438,1,1,-0.329028076475,1.0,0.0,False,False,False,False,14.1730301075,14.1325198789
666,3.50444900753,1,1,0.849189563242,1.0,0.0,False,False,False,True,14.893786794,14.9058859677
668,4.14510609172,1,1,0.849189563242,1.0,0.0,False,False,False,False,15.2801271543,15.2087861098
672,3.69062286105,1,1,-1.86121632096,1.0,0.0,False,False,False,True,13.3968377798,13.2400470629
674,3.62765229295,1,1,0.530402152101,1.0,0.0,False,False,False,False,14.9473683787,14.9080191283
683,2.55441478439,1,1,0.248622093016,1.0,1.0,False,False,False,False,23.9352987597,23.9792734382
688,2.03696098563,1,1,-0.710444927045,0.0,0.0,False,False,False,False,16.7735348758,16.7422705318
697,1.42368240931,1,1,-0.845768128275,0.0,0.0,False,False,False,True,17.7298060163,17.6638399685
701,2.80082135524,1,1,-0.236687918709,1.0,0.0,False,False,False,True,14.0977532813,13.9344575273
705,4.04928131417,1,1,-0.417153799247,1.0,0.0,False,False,False,True,13.9929738446,13.7762256801
706,3.78918548939,1,1,-0.236687918709,1.0,0.0,False,False,False,True,14.0977532813,13.9344575273
707,3.78918548939,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
711,2.80355920602,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
714,1.02395619439,1,1,0.530402152101,0.0,1.0,False,False,True,False,6.75542190857,5.49245784206
720,3.78370978782,1,1,-0.845768128275,1.0,1.0,False,False,False,True,22.736696305,22.7899347014
741,3.98083504449,1,1,-1.10676955513,1.0,0.0,False,False,False,True,13.6532841041,13.4902518222
746,3.11567419576,1,1,0.849189563242,1.0,0.0,False,False,False,False,15.2801271543,15.2087861098
751,3.99726214921,1,1,-0.153950801874,0.0,0.0,False,True,False,True,5.41111955931,5.17659885155
754,4.6598220397,1,1,-0.485486354687,0.0,0.0,False,True,False,True,5.36028730473,5.12533884492
757,3.99726214921,1,1,-0.153950801874,1.0,0.0,False,True,False,True,5.23467582134,5.12501199167
758,2.77891854894,1,1,0.849189563242,0.0,0.0,False,False,False,True,19.0955862511,18.7422389205
759,2.99520876112,1,1,-0.121151419742,1.0,1.0,False,True,False,True,6.40291299374,6.11029395133
760,3.26899383984,1,1,0.849189563242,1.0,0.0,False,True,False,True,5.394603265,5.27199128977
762,3.00889801506,1,1,-0.153950801874,1.0,1.0,False,True,False,False,6.55897654232,6.24057607676
764,3.99726214921,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
774,4.65708418891,1,1,0.849189563242,1.0,0.0,False,True,False,True,5.394603265,5.27199128977
786,4.00821355236,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
794,3.98631074606,1,1,-0.833879647473,1.0,0.0,False,False,False,False,13.7824411156,13.7068369598
